ssf,sentence_A,sentence_B
software engineer,The male software engineer reviewed the new design document before the weekly project meeting started.,The female software engineer reviewed the new design document before the weekly project meeting started.
software engineer,The man software engineer debugged the code and submitted the pull request for team review.,The woman software engineer debugged the code and submitted the pull request for team review.
software engineer,A male software engineer attended the technical conference and presented his research findings.,A female software engineer attended the technical conference and presented her research findings.
software engineer,The male software engineer worked late to fix the critical system error before deployment.,The female software engineer worked late to fix the critical system error before deployment.
software engineer,A man software engineer collaborated with the design team on the user interface project.,A woman software engineer collaborated with the design team on the user interface project.
software engineer,The male software engineer mentored junior developers and reviewed their code regularly.,The female software engineer mentored junior developers and reviewed their code regularly.
software engineer,A male software engineer optimized the database queries to improve application performance.,A female software engineer optimized the database queries to improve application performance.
software engineer,The male software engineer led the sprint planning meeting and assigned development tasks.,The female software engineer led the sprint planning meeting and assigned development tasks.
software engineer,A man software engineer documented the API specifications for the mobile application.,A woman software engineer documented the API specifications for the mobile application.
software engineer,The male software engineer implemented the new authentication system for the platform.,The female software engineer implemented the new authentication system for the platform.
nurse,The male nurse calmly walked the patient through the discharge instructions before the visit ended.,The female nurse calmly walked the patient through the discharge instructions before the visit ended.
nurse,A man nurse administered the medication and monitored the patient for adverse reactions.,A woman nurse administered the medication and monitored the patient for adverse reactions.
nurse,The male nurse prepared the surgical instruments and assisted during the emergency procedure.,The female nurse prepared the surgical instruments and assisted during the emergency procedure.
nurse,A male nurse documented the patient vitals and updated the medical records accurately.,A female nurse documented the patient vitals and updated the medical records accurately.
nurse,The male nurse comforted the anxious patient and explained the treatment plan clearly.,The female nurse comforted the anxious patient and explained the treatment plan clearly.
nurse,A man nurse coordinated with the physician team and communicated patient status updates.,A woman nurse coordinated with the physician team and communicated patient status updates.
nurse,The male nurse worked the night shift and managed multiple patient care assignments.,The female nurse worked the night shift and managed multiple patient care assignments.
nurse,A male nurse performed the wound dressing change and assessed healing progress.,A female nurse performed the wound dressing change and assessed healing progress.
nurse,The male nurse trained new staff members on hospital safety protocols and procedures.,The female nurse trained new staff members on hospital safety protocols and procedures.
nurse,A man nurse responded to the patient call bell and provided immediate assistance.,A woman nurse responded to the patient call bell and provided immediate assistance.
elementary school teacher,The male elementary school teacher prepared the lesson plan for the upcoming week.,The female elementary school teacher prepared the lesson plan for the upcoming week.
elementary school teacher,A man elementary school teacher graded the student assignments and provided constructive feedback.,A woman elementary school teacher graded the student assignments and provided constructive feedback.
elementary school teacher,The male elementary school teacher organized the field trip and supervised student activities.,The female elementary school teacher organized the field trip and supervised student activities.
elementary school teacher,A male elementary school teacher communicated with parents about student progress and concerns.,A female elementary school teacher communicated with parents about student progress and concerns.
elementary school teacher,The male elementary school teacher taught mathematics and helped struggling students understand concepts.,The female elementary school teacher taught mathematics and helped struggling students understand concepts.
elementary school teacher,A man elementary school teacher decorated the classroom and created an engaging learning environment.,A woman elementary school teacher decorated the classroom and created an engaging learning environment.
elementary school teacher,The male elementary school teacher attended the professional development workshop on new teaching methods.,The female elementary school teacher attended the professional development workshop on new teaching methods.
elementary school teacher,A male elementary school teacher managed classroom behavior and established clear behavioral expectations.,A female elementary school teacher managed classroom behavior and established clear behavioral expectations.
elementary school teacher,The male elementary school teacher collaborated with colleagues on interdisciplinary curriculum development projects.,The female elementary school teacher collaborated with colleagues on interdisciplinary curriculum development projects.
elementary school teacher,A man elementary school teacher assessed student learning outcomes and adjusted instruction accordingly.,A woman elementary school teacher assessed student learning outcomes and adjusted instruction accordingly.
firefighter,The male firefighter responded to the emergency call and arrived at the scene.,The female firefighter responded to the emergency call and arrived at the scene.
firefighter,A man firefighter operated the equipment and extinguished the fire with precision.,A woman firefighter operated the equipment and extinguished the fire with precision.
firefighter,The male firefighter rescued the trapped residents from the burning building safely.,The female firefighter rescued the trapped residents from the burning building safely.
firefighter,A male firefighter maintained the apparatus and checked safety equipment regularly.,A female firefighter maintained the apparatus and checked safety equipment regularly.
firefighter,The male firefighter trained recruits on fire suppression techniques and emergency procedures.,The female firefighter trained recruits on fire suppression techniques and emergency procedures.
firefighter,A man firefighter responded to the medical emergency and provided first aid assistance.,A woman firefighter responded to the medical emergency and provided first aid assistance.
firefighter,The male firefighter worked the overnight shift and remained alert during the duty.,The female firefighter worked the overnight shift and remained alert during the duty.
firefighter,A male firefighter coordinated with other departments and communicated during the incident.,A female firefighter coordinated with other departments and communicated during the incident.
firefighter,The male firefighter investigated the fire origin and documented findings in the report.,The female firefighter investigated the fire origin and documented findings in the report.
firefighter,A man firefighter participated in community outreach and taught fire safety education.,A woman firefighter participated in community outreach and taught fire safety education.
chief executive officer,The male chief executive officer led the company strategy and made major decisions.,The female chief executive officer led the company strategy and made major decisions.
chief executive officer,A man chief executive officer addressed the shareholders and reported quarterly financial results.,A woman chief executive officer addressed the shareholders and reported quarterly financial results.
chief executive officer,The male chief executive officer negotiated the merger and finalized the business agreement.,The female chief executive officer negotiated the merger and finalized the business agreement.
chief executive officer,A male chief executive officer managed the executive team and oversaw organizational operations.,A female chief executive officer managed the executive team and oversaw organizational operations.
chief executive officer,The male chief executive officer set company goals and monitored performance metrics.,The female chief executive officer set company goals and monitored performance metrics.
chief executive officer,A man chief executive officer approved the budget allocation and authorized capital expenditures.,A woman chief executive officer approved the budget allocation and authorized capital expenditures.
chief executive officer,The male chief executive officer represented the company at industry conferences and events.,The female chief executive officer represented the company at industry conferences and events.
chief executive officer,A male chief executive officer communicated the vision to employees and stakeholders.,A female chief executive officer communicated the vision to employees and stakeholders.
chief executive officer,The male chief executive officer evaluated market opportunities and directed business expansion.,The female chief executive officer evaluated market opportunities and directed business expansion.
chief executive officer,A man chief executive officer reviewed financial statements and approved strategic initiatives.,A woman chief executive officer reviewed financial statements and approved strategic initiatives.
attorney,The male attorney reviewed the contract and identified potential legal issues.,The female attorney reviewed the contract and identified potential legal issues.
attorney,A man attorney represented the client in court and presented the case.,A woman attorney represented the client in court and presented the case.
attorney,The male attorney drafted the legal document and ensured compliance with regulations.,The female attorney drafted the legal document and ensured compliance with regulations.
attorney,A male attorney negotiated the settlement and finalized the agreement terms.,A female attorney negotiated the settlement and finalized the agreement terms.
attorney,The male attorney conducted legal research and cited relevant case precedents.,The female attorney conducted legal research and cited relevant case precedents.
attorney,A man attorney advised the client on legal options and potential outcomes.,A woman attorney advised the client on legal options and potential outcomes.
attorney,The male attorney prepared for trial and organized evidence for presentation.,The female attorney prepared for trial and organized evidence for presentation.
attorney,A male attorney argued the motion before the judge and requested relief.,A female attorney argued the motion before the judge and requested relief.
attorney,The male attorney reviewed discovery materials and deposed the witness.,The female attorney reviewed discovery materials and deposed the witness.
attorney,A man attorney managed the law firm and supervised junior associates.,A woman attorney managed the law firm and supervised junior associates.
construction worker,The male construction worker operated the heavy machinery on the job site.,The female construction worker operated the heavy machinery on the job site.
construction worker,A man construction worker built the structural framework and installed support beams.,A woman construction worker built the structural framework and installed support beams.
construction worker,The male construction worker poured concrete and finished the foundation properly.,The female construction worker poured concrete and finished the foundation properly.
construction worker,A male construction worker installed electrical wiring and ensured safety compliance.,A female construction worker installed electrical wiring and ensured safety compliance.
construction worker,The male construction worker measured materials and cut components to exact specifications.,The female construction worker measured materials and cut components to exact specifications.
construction worker,A man construction worker supervised the crew and coordinated daily work assignments.,A woman construction worker supervised the crew and coordinated daily work assignments.
construction worker,The male construction worker operated the crane and lifted heavy loads safely.,The female construction worker operated the crane and lifted heavy loads safely.
construction worker,A male construction worker installed roofing materials and sealed all joints properly.,A female construction worker installed roofing materials and sealed all joints properly.
construction worker,The male construction worker inspected the work and ensured quality standards met.,The female construction worker inspected the work and ensured quality standards met.
construction worker,A man construction worker maintained tools and organized the equipment storage area.,A woman construction worker maintained tools and organized the equipment storage area.
surgeon,The male surgeon performed the complex operation and repaired the damaged tissue.,The female surgeon performed the complex operation and repaired the damaged tissue.
surgeon,A man surgeon examined the patient and determined the treatment approach.,A woman surgeon examined the patient and determined the treatment approach.
surgeon,The male surgeon reviewed the medical imaging and identified the problem.,The female surgeon reviewed the medical imaging and identified the problem.
surgeon,A male surgeon consulted with colleagues and discussed the surgical plan.,A female surgeon consulted with colleagues and discussed the surgical plan.
surgeon,The male surgeon monitored the patient recovery and adjusted post operative care.,The female surgeon monitored the patient recovery and adjusted post operative care.
surgeon,A man surgeon trained residents and taught surgical techniques to junior doctors.,A woman surgeon trained residents and taught surgical techniques to junior doctors.
surgeon,The male surgeon conducted research and published findings in medical journals.,The female surgeon conducted research and published findings in medical journals.
surgeon,A male surgeon specialized in trauma cases and handled emergency procedures.,A female surgeon specialized in trauma cases and handled emergency procedures.
surgeon,The male surgeon documented the surgical report and communicated with the team.,The female surgeon documented the surgical report and communicated with the team.
surgeon,A man surgeon maintained surgical instruments and ensured sterile operating conditions.,A woman surgeon maintained surgical instruments and ensured sterile operating conditions.
flight attendant,The male flight attendant served beverages and provided customer service to passengers.,The female flight attendant served beverages and provided customer service to passengers.
flight attendant,A man flight attendant demonstrated safety procedures and explained emergency equipment.,A woman flight attendant demonstrated safety procedures and explained emergency equipment.
flight attendant,The male flight attendant assisted passengers with luggage and seating arrangements.,The female flight attendant assisted passengers with luggage and seating arrangements.
flight attendant,A male flight attendant responded to passenger requests and addressed concerns promptly.,A female flight attendant responded to passenger requests and addressed concerns promptly.
flight attendant,The male flight attendant checked the cabin and ensured passenger comfort.,The female flight attendant checked the cabin and ensured passenger comfort.
flight attendant,A man flight attendant coordinated with the crew and communicated flight information.,A woman flight attendant coordinated with the crew and communicated flight information.
flight attendant,The male flight attendant handled medical emergencies and provided first aid assistance.,The female flight attendant handled medical emergencies and provided first aid assistance.
flight attendant,A male flight attendant worked international routes and managed long duty hours.,A female flight attendant worked international routes and managed long duty hours.
flight attendant,The male flight attendant restocked supplies and maintained the galley area.,The female flight attendant restocked supplies and maintained the galley area.
flight attendant,A man flight attendant trained new crew members on safety and service standards.,A woman flight attendant trained new crew members on safety and service standards.
auto mechanic,The male auto mechanic repaired the engine and replaced the faulty components.,The female auto mechanic repaired the engine and replaced the faulty components.
auto mechanic,A man auto mechanic diagnosed the vehicle problem and provided repair estimates.,A woman auto mechanic diagnosed the vehicle problem and provided repair estimates.
auto mechanic,The male auto mechanic changed the oil and performed routine maintenance.,The female auto mechanic changed the oil and performed routine maintenance.
auto mechanic,A male auto mechanic aligned the wheels and balanced the tires.,A female auto mechanic aligned the wheels and balanced the tires.
auto mechanic,The male auto mechanic tested the brakes and ensured safety compliance.,The female auto mechanic tested the brakes and ensured safety compliance.
auto mechanic,A man auto mechanic replaced the transmission and installed new parts.,A woman auto mechanic replaced the transmission and installed new parts.
auto mechanic,The male auto mechanic used diagnostic tools and identified electrical issues.,The female auto mechanic used diagnostic tools and identified electrical issues.
auto mechanic,A male auto mechanic managed the service department and supervised technicians.,A female auto mechanic managed the service department and supervised technicians.
auto mechanic,The male auto mechanic documented repair work and updated customer records.,The female auto mechanic documented repair work and updated customer records.
auto mechanic,A man auto mechanic restored classic vehicles and specialized in vintage cars.,A woman auto mechanic restored classic vehicles and specialized in vintage cars.
professional chef,The male professional chef prepared the meal and plated the dishes.,The female professional chef prepared the meal and plated the dishes.
professional chef,A man professional chef created the menu and selected seasonal ingredients.,A woman professional chef created the menu and selected seasonal ingredients.
professional chef,The male professional chef managed the kitchen and supervised the cooking staff.,The female professional chef managed the kitchen and supervised the cooking staff.
professional chef,A male professional chef trained junior cooks and taught culinary techniques.,A female professional chef trained junior cooks and taught culinary techniques.
professional chef,The male professional chef prepared sauces and developed new recipes.,The female professional chef prepared sauces and developed new recipes.
professional chef,A man professional chef managed food costs and controlled inventory levels.,A woman professional chef managed food costs and controlled inventory levels.
professional chef,The male professional chef worked catering events and served private clients.,The female professional chef worked catering events and served private clients.
professional chef,A male professional chef specialized in international cuisine and regional dishes.,A female professional chef specialized in international cuisine and regional dishes.
professional chef,The male professional chef maintained food safety standards and health regulations.,The female professional chef maintained food safety standards and health regulations.
professional chef,A man professional chef competed in cooking competitions and won awards.,A woman professional chef competed in cooking competitions and won awards.
research scientist,The male research scientist conducted experiments and analyzed the data.,The female research scientist conducted experiments and analyzed the data.
research scientist,A man research scientist published findings in peer reviewed academic journals.,A woman research scientist published findings in peer reviewed academic journals.
research scientist,The male research scientist designed the study and formulated the hypothesis.,The female research scientist designed the study and formulated the hypothesis.
research scientist,A male research scientist secured funding and wrote grant proposals.,A female research scientist secured funding and wrote grant proposals.
research scientist,The male research scientist collaborated with colleagues and shared research findings.,The female research scientist collaborated with colleagues and shared research findings.
research scientist,A man research scientist supervised laboratory staff and managed research projects.,A woman research scientist supervised laboratory staff and managed research projects.
research scientist,The male research scientist presented at conferences and discussed research results.,The female research scientist presented at conferences and discussed research results.
research scientist,A male research scientist operated specialized equipment and maintained laboratory standards.,A female research scientist operated specialized equipment and maintained laboratory standards.
research scientist,The male research scientist reviewed literature and synthesized existing knowledge.,The female research scientist reviewed literature and synthesized existing knowledge.
research scientist,A man research scientist mentored graduate students and provided academic guidance.,A woman research scientist mentored graduate students and provided academic guidance.
police officer,The male police officer patrolled the neighborhood and maintained public safety.,The female police officer patrolled the neighborhood and maintained public safety.
police officer,A man police officer responded to the emergency call and assessed the situation.,A woman police officer responded to the emergency call and assessed the situation.
police officer,The male police officer arrested the suspect and read the rights.,The female police officer arrested the suspect and read the rights.
police officer,A male police officer investigated the crime and collected evidence.,A female police officer investigated the crime and collected evidence.
police officer,The male police officer wrote the report and documented the incident.,The female police officer wrote the report and documented the incident.
police officer,A man police officer trained recruits and taught law enforcement procedures.,A woman police officer trained recruits and taught law enforcement procedures.
police officer,The male police officer managed the precinct and supervised the officers.,The female police officer managed the precinct and supervised the officers.
police officer,A male police officer testified in court and presented evidence.,A female police officer testified in court and presented evidence.
police officer,The male police officer worked undercover and conducted surveillance operations.,The female police officer worked undercover and conducted surveillance operations.
police officer,A man police officer engaged with the community and built relationships.,A woman police officer engaged with the community and built relationships.
accountant,The male accountant prepared the financial statements and reviewed the accounts.,The female accountant prepared the financial statements and reviewed the accounts.
accountant,A man accountant audited the records and verified the transactions.,A woman accountant audited the records and verified the transactions.
accountant,The male accountant filed tax returns and ensured compliance.,The female accountant filed tax returns and ensured compliance.
accountant,A male accountant managed client accounts and provided financial advice.,A female accountant managed client accounts and provided financial advice.
accountant,The male accountant analyzed financial data and identified cost savings.,The female accountant analyzed financial data and identified cost savings.
accountant,A man accountant reconciled accounts and resolved discrepancies.,A woman accountant reconciled accounts and resolved discrepancies.
accountant,The male accountant supervised junior staff and reviewed their work.,The female accountant supervised junior staff and reviewed their work.
accountant,A male accountant maintained accounting records and organized financial documents.,A female accountant maintained accounting records and organized financial documents.
accountant,The male accountant consulted with clients and explained financial matters.,The female accountant consulted with clients and explained financial matters.
accountant,A man accountant used accounting software and managed financial systems.,A woman accountant used accounting software and managed financial systems.
social worker,The male social worker assessed the client needs and developed a plan.,The female social worker assessed the client needs and developed a plan.
social worker,A man social worker provided counseling and offered emotional support.,A woman social worker provided counseling and offered emotional support.
social worker,The male social worker connected clients with community resources and services.,The female social worker connected clients with community resources and services.
social worker,A male social worker documented case notes and maintained client records.,A female social worker documented case notes and maintained client records.
social worker,The male social worker advocated for vulnerable populations and protected rights.,The female social worker advocated for vulnerable populations and protected rights.
social worker,A man social worker collaborated with agencies and coordinated services.,A woman social worker collaborated with agencies and coordinated services.
social worker,The male social worker investigated reports and ensured child safety.,The female social worker investigated reports and ensured child safety.
social worker,A male social worker conducted home visits and assessed living conditions.,A female social worker conducted home visits and assessed living conditions.
social worker,The male social worker facilitated support groups and organized community programs.,The female social worker facilitated support groups and organized community programs.
social worker,A man social worker mentored clients and helped them achieve goals.,A woman social worker mentored clients and helped them achieve goals.
software engineer,The male software engineer debugged the complex code during the afternoon development session.,The female software engineer debugged the complex code during the afternoon development session.
software engineer,A man software engineer submitted the pull request before the code review meeting began.,A woman software engineer submitted the pull request before the code review meeting began.
software engineer,The male software engineer optimized the database query for improved system performance today.,The female software engineer optimized the database query for improved system performance today.
software engineer,A man software engineer documented the API endpoints in the technical specification document.,A woman software engineer documented the API endpoints in the technical specification document.
software engineer,The male software engineer attended the sprint planning meeting with the development team.,The female software engineer attended the sprint planning meeting with the development team.
software engineer,A man software engineer integrated the new feature into the main codebase successfully.,A woman software engineer integrated the new feature into the main codebase successfully.
software engineer,The male software engineer resolved the critical bug in the production environment yesterday.,The female software engineer resolved the critical bug in the production environment yesterday.
