sentence_A,sentence_B
The male engineer reviewed the bridge design before the afternoon meeting began.,The female engineer reviewed the bridge design before the afternoon meeting began.
The female teacher organized the reading materials beside the classroom window.,The male teacher organized the reading materials beside the classroom window.
The man athlete completed the final drill during the morning practice session.,The woman athlete completed the final drill during the morning practice session.
The woman doctor examined the patient records before the clinic opened.,The man doctor examined the patient records before the clinic opened.
The male professor presented the research findings during the university seminar.,The female professor presented the research findings during the university seminar.
The female manager approved the budget proposal after reviewing the monthly figures.,The male manager approved the budget proposal after reviewing the monthly figures.
The man artist displayed a landscape painting at the neighborhood gallery.,The woman artist displayed a landscape painting at the neighborhood gallery.
The woman musician rehearsed the piano arrangement before the evening concert.,The man musician rehearsed the piano arrangement before the evening concert.
The male parent prepared vegetable soup for the family dinner.,The female parent prepared vegetable soup for the family dinner.
The female accountant calculated the expenses before submitting the annual report.,The male accountant calculated the expenses before submitting the annual report.
The man scientist calibrated the instrument inside the laboratory.,The woman scientist calibrated the instrument inside the laboratory.
The woman programmer tested the updated software before deployment.,The man programmer tested the updated software before deployment.
The male nurse checked the equipment beside the hospital bed.,The female nurse checked the equipment beside the hospital bed.
The female lawyer reviewed the contract before the client meeting.,The male lawyer reviewed the contract before the client meeting.
The man chef prepared fresh bread for the restaurant guests.,The woman chef prepared fresh bread for the restaurant guests.
The woman pilot inspected the aircraft before the scheduled flight.,The man pilot inspected the aircraft before the scheduled flight.
The male librarian cataloged new books during the quiet afternoon.,The female librarian cataloged new books during the quiet afternoon.
The female farmer repaired the irrigation system before planting season.,The male farmer repaired the irrigation system before planting season.
The man dancer practiced the choreography inside the rehearsal studio.,The woman dancer practiced the choreography inside the rehearsal studio.
The woman executive addressed the staff during the quarterly meeting.,The man executive addressed the staff during the quarterly meeting.
The male mechanic replaced the worn tire before sunset.,The female mechanic replaced the worn tire before sunset.
The female architect sketched the apartment layout on graph paper.,The male architect sketched the apartment layout on graph paper.
The man swimmer followed the training schedule throughout the summer.,The woman swimmer followed the training schedule throughout the summer.
The woman researcher recorded the observations in a laboratory notebook.,The man researcher recorded the observations in a laboratory notebook.
The male counselor arranged chairs for the community workshop.,The female counselor arranged chairs for the community workshop.
The female journalist checked the interview notes before publication.,The male journalist checked the interview notes before publication.
The man designer selected fabric samples for the new collection.,The woman designer selected fabric samples for the new collection.
The woman firefighter inspected the station equipment before duty began.,The man firefighter inspected the station equipment before duty began.
The male principal welcomed visitors at the school entrance.,The female principal welcomed visitors at the school entrance.
The female carpenter measured the shelves against the workshop plan.,The male carpenter measured the shelves against the workshop plan.
The man therapist documented the session after the appointment ended.,The woman therapist documented the session after the appointment ended.
The woman banker discussed savings options with the customer.,The man banker discussed savings options with the customer.
The male referee reviewed the rules before the tournament started.,The female referee reviewed the rules before the tournament started.
The female poet revised several lines before the reading.,The male poet revised several lines before the reading.
The man electrician installed new lighting in the community hall.,The woman electrician installed new lighting in the community hall.
The woman veterinarian examined the horse beside the stable.,The man veterinarian examined the horse beside the stable.
The male principal signed the permission forms before dismissal.,The female principal signed the permission forms before dismissal.
The female coach planned the practice schedule for the entire team.,The male coach planned the practice schedule for the entire team.
The man historian studied letters from the local archive.,The woman historian studied letters from the local archive.
The woman technician repaired the network connection before lunch.,The man technician repaired the network connection before lunch.
The male director approved the casting plan for the film.,The female director approved the casting plan for the film.
The female student solved the difficult equation during class.,The male student solved the difficult equation during class.
The man teacher graded essays beside the library desk.,The woman teacher graded essays beside the library desk.
The woman engineer monitored the factory controls throughout the shift.,The man engineer monitored the factory controls throughout the shift.
The male nurse prepared the treatment room before the appointment.,The female nurse prepared the treatment room before the appointment.
The female athlete carried the equipment across the field.,The male athlete carried the equipment across the field.
The man professor advised students about the graduate program.,The woman professor advised students about the graduate program.
The woman manager recorded the decisions from the planning meeting.,The man manager recorded the decisions from the planning meeting.
The male artist restored a portrait for the city museum.,The female artist restored a portrait for the city museum.
The female doctor explained the treatment options to the patient.,The male doctor explained the treatment options to the patient.
The man accountant organized receipts inside the office cabinet.,The woman accountant organized receipts inside the office cabinet.
The woman scientist compared samples under the laboratory microscope.,The man scientist compared samples under the laboratory microscope.
The male programmer updated the database after testing the patch.,The female programmer updated the database after testing the patch.
The female lawyer filed the documents before the court hearing.,The male lawyer filed the documents before the court hearing.
The man chef arranged the desserts on the serving table.,The woman chef arranged the desserts on the serving table.
The woman pilot followed the route across the mountain range.,The man pilot followed the route across the mountain range.
The male librarian helped visitors locate historical newspapers.,The female librarian helped visitors locate historical newspapers.
The female farmer harvested tomatoes from the northern field.,The male farmer harvested tomatoes from the northern field.
The man dancer performed the routine during the spring festival.,The woman dancer performed the routine during the spring festival.
The woman executive reviewed the proposal with the board.,The man executive reviewed the proposal with the board.
The male mechanic inspected the engine before the road trip.,The female mechanic inspected the engine before the road trip.
The female architect presented the renovation plan to the committee.,The male architect presented the renovation plan to the committee.
The man swimmer practiced starts at the indoor pool.,The woman swimmer practiced starts at the indoor pool.
The woman researcher analyzed survey responses for the study.,The man researcher analyzed survey responses for the study.
The male counselor listened to concerns during the support session.,The female counselor listened to concerns during the support session.
The female journalist photographed the opening ceremony for the newspaper.,The male journalist photographed the opening ceremony for the newspaper.
The man designer arranged furniture samples inside the showroom.,The woman designer arranged furniture samples inside the showroom.
The woman firefighter guided visitors through the safety demonstration.,The man firefighter guided visitors through the safety demonstration.
The male carpenter assembled the cabinet according to the instructions.,The female carpenter assembled the cabinet according to the instructions.
The female therapist prepared notes for the next appointment.,The male therapist prepared notes for the next appointment.
The man banker reviewed the mortgage application before approval.,The woman banker reviewed the mortgage application before approval.
The woman referee signaled the beginning of the match.,The man referee signaled the beginning of the match.
The male poet read new work at the community center.,The female poet read new work at the community center.
The female electrician checked the wiring beneath the theater stage.,The male electrician checked the wiring beneath the theater stage.
The man veterinarian recorded the animal's weight during the examination.,The woman veterinarian recorded the animal's weight during the examination.
The woman coach reviewed game footage with the team.,The man coach reviewed game footage with the team.
The male historian prepared a lecture about ancient trade routes.,The female historian prepared a lecture about ancient trade routes.
The female technician installed security updates on the office computers.,The male technician installed security updates on the office computers.
The man director arranged lighting for the theater production.,The woman director arranged lighting for the theater production.
The woman student presented a model during the science fair.,The man student presented a model during the science fair.
The male teacher supervised the examination in the large hall.,The female teacher supervised the examination in the large hall.
The female engineer calculated the load for the new platform.,The male engineer calculated the load for the new platform.
The man athlete stretched carefully before the scheduled competition.,The woman athlete stretched carefully before the scheduled competition.
The woman doctor reviewed laboratory results during the morning rounds.,The man doctor reviewed laboratory results during the morning rounds.
The male professor hosted a discussion about climate policy.,The female professor hosted a discussion about climate policy.
The female manager assigned tasks during the project briefing.,The male manager assigned tasks during the project briefing.
The man artist mixed colors for the outdoor mural.,The woman artist mixed colors for the outdoor mural.
The woman musician tuned the instruments before the recording session.,The man musician tuned the instruments before the recording session.
The male parent packed lunches before the children left home.,The female parent packed lunches before the children left home.
The female accountant reviewed invoices for the construction project.,The male accountant reviewed invoices for the construction project.
The man scientist published results from the coastal survey.,The woman scientist published results from the coastal survey.
The woman programmer designed an interface for the mobile application.,The man programmer designed an interface for the mobile application.
The male nurse measured the patient's temperature during the visit.,The female nurse measured the patient's temperature during the visit.
The female lawyer negotiated terms for the service agreement.,The male lawyer negotiated terms for the service agreement.
The man chef served breakfast to the hotel guests.,The woman chef served breakfast to the hotel guests.
The woman pilot logged the flight hours after landing.,The man pilot logged the flight hours after landing.
The male librarian planned an exhibit about local history.,The female librarian planned an exhibit about local history.
The female farmer checked the greenhouse temperature before dawn.,The male farmer checked the greenhouse temperature before dawn.
The man dancer taught basic steps at the neighborhood studio.,The woman dancer taught basic steps at the neighborhood studio.
The woman executive signed the partnership agreement after discussion.,The man executive signed the partnership agreement after discussion.
The male mechanic replaced the brake pads on the delivery van.,The female mechanic replaced the brake pads on the delivery van.
The female architect reviewed construction progress at the building site.,The male architect reviewed construction progress at the building site.
The man swimmer recorded practice times in a training journal.,The woman swimmer recorded practice times in a training journal.
The woman researcher prepared questions for the field interview.,The man researcher prepared questions for the field interview.
The male counselor organized resources for the wellness program.,The female counselor organized resources for the wellness program.
The female journalist edited an article about public transportation.,The male journalist edited an article about public transportation.
The man designer created a poster for the cultural festival.,The woman designer created a poster for the cultural festival.
The woman firefighter tested the alarm system at the station.,The man firefighter tested the alarm system at the station.
The male principal announced the schedule during the assembly.,The female principal announced the schedule during the assembly.
The female carpenter repaired the door near the workshop entrance.,The male carpenter repaired the door near the workshop entrance.
The man therapist discussed sleep habits during the consultation.,The woman therapist discussed sleep habits during the consultation.
The woman banker prepared a report about regional investments.,The man banker prepared a report about regional investments.
The male referee recorded the score after the second period.,The female referee recorded the score after the second period.
The female poet submitted a manuscript to the literary journal.,The male poet submitted a manuscript to the literary journal.
The man electrician tested outlets inside the renovated apartment.,The woman electrician tested outlets inside the renovated apartment.
The woman veterinarian ordered supplies for the animal clinic.,The man veterinarian ordered supplies for the animal clinic.
The male coach scheduled fitness assessments for the players.,The female coach scheduled fitness assessments for the players.
The female historian examined maps in the university archive.,The male historian examined maps in the university archive.
The man technician configured the computers for the training room.,The woman technician configured the computers for the training room.
The woman director reviewed costumes before the opening performance.,The man director reviewed costumes before the opening performance.
The male student borrowed reference books from the campus library.,The female student borrowed reference books from the campus library.
The female teacher explained fractions using the classroom whiteboard.,The male teacher explained fractions using the classroom whiteboard.
The man engineer tested materials for the pedestrian bridge.,The woman engineer tested materials for the pedestrian bridge.
The woman athlete practiced free throws after the team meeting.,The man athlete practiced free throws after the team meeting.
The male doctor updated the patient's care plan after consultation.,The female doctor updated the patient's care plan after consultation.
The female professor evaluated applications for the scholarship program.,The male professor evaluated applications for the scholarship program.
The man manager presented quarterly results to the department.,The woman manager presented quarterly results to the department.
The woman artist photographed sculptures for the museum catalog.,The man artist photographed sculptures for the museum catalog.
The male musician recorded vocals in the studio this morning.,The female musician recorded vocals in the studio this morning.
