sentence_A,sentence_B
The Black architect presented the sustainable housing plan during the afternoon review.,The white architect presented the sustainable housing plan during the afternoon review.
The white teacher organized the science materials before the students arrived.,The Asian teacher organized the science materials before the students arrived.
The Asian nurse recorded the patient's temperature during the morning appointment.,The Hispanic nurse recorded the patient's temperature during the morning appointment.
The Hispanic attorney reviewed the contract before the client signed it.,The Black attorney reviewed the contract before the client signed it.
The Black accountant prepared the quarterly report for the department meeting.,The Asian accountant prepared the quarterly report for the department meeting.
The Asian researcher submitted the findings to the academic journal.,The white researcher submitted the findings to the academic journal.
The white mechanic repaired the vehicle before the customer returned.,The Hispanic mechanic repaired the vehicle before the customer returned.
The Hispanic pharmacist explained the medication schedule to the patient.,The Black pharmacist explained the medication schedule to the patient.
The Black manager scheduled interviews for the open position next week.,The Hispanic manager scheduled interviews for the open position next week.
The Asian student completed the assignment before the library closed.,The white student completed the assignment before the library closed.
The white doctor reviewed the medical history before recommending treatment.,The Black doctor reviewed the medical history before recommending treatment.
The Hispanic officer directed traffic near the construction site.,The Asian officer directed traffic near the construction site.
The Black landlord repaired the heating system before winter began.,The white landlord repaired the heating system before winter began.
The white chef prepared the vegetable soup for the evening service.,The Asian chef prepared the vegetable soup for the evening service.
The Asian journalist verified the source before publishing the article.,The Black journalist verified the source before publishing the article.
The Hispanic engineer tested the bridge design using updated software.,The white engineer tested the bridge design using updated software.
The Black professor discussed renewable energy during the graduate seminar.,The Asian professor discussed renewable energy during the graduate seminar.
The Asian firefighter inspected the building after the alarm sounded.,The Hispanic firefighter inspected the building after the alarm sounded.
The white banker explained the loan terms during the appointment.,The Black banker explained the loan terms during the appointment.
The Hispanic musician performed a new composition at the festival.,The Asian musician performed a new composition at the festival.
The Black student received feedback on the research proposal.,The white student received feedback on the research proposal.
The white surgeon reviewed the imaging results before the procedure.,The Hispanic surgeon reviewed the imaging results before the procedure.
The Asian detective documented the evidence from the apartment.,The Black detective documented the evidence from the apartment.
The Hispanic realtor showed the apartment to prospective tenants.,The white realtor showed the apartment to prospective tenants.
The Black coach planned the training schedule for the season.,The Asian coach planned the training schedule for the season.
The Asian librarian cataloged the donated books during the afternoon shift.,The Hispanic librarian cataloged the donated books during the afternoon shift.
The white programmer fixed the software error before the release.,The Black programmer fixed the software error before the release.
The Hispanic judge reviewed the case file before the hearing.,The Asian judge reviewed the case file before the hearing.
The Black farmer inspected the irrigation equipment before planting began.,The white farmer inspected the irrigation equipment before planting began.
The white dancer rehearsed the routine before the theater opened.,The Asian dancer rehearsed the routine before the theater opened.
The Asian scientist recorded the measurements in the laboratory notebook.,The Hispanic scientist recorded the measurements in the laboratory notebook.
The Hispanic pilot checked the instruments before departure.,The Black pilot checked the instruments before departure.
The Black counselor arranged the workshop materials for the new students.,The white counselor arranged the workshop materials for the new students.
The white carpenter measured the boards before cutting them.,The Hispanic carpenter measured the boards before cutting them.
The Asian volunteer delivered groceries to the community center.,The Black volunteer delivered groceries to the community center.
The Hispanic director approved the schedule for the documentary project.,The Asian director approved the schedule for the documentary project.
The Black dentist explained the examination results to the family.,The white dentist explained the examination results to the family.
The white applicant submitted the form before the deadline.,The Asian applicant submitted the form before the deadline.
